Sentence,Judges_classification,,,,,
"Despite some faults, the film has plenty of star power and charm to ride on.",acting,,,,,
It's also good that the actors are no-names so it doesn't distract from the story.Go,acting,,,,,
I have been waiting for this movie to come out since the last one and I enjoyed it even more than the first 3 with Kiera Knightly and Orlando Bloom.,acting,,,,,
"So, in the end, I just feel cheated that I watched a bad clichd action movie for one single reason: the cast.",acting,,,,,
You can boil it all down to the one question that has been asked thousands of times over: How could anyone dare to remake Star Trek in the 21st century with a younger cast playing familiar characters?,acting,,,,,
And just one quick question: What the #%&* was Sigourney Weaver doing in this movie?,acting,,,,,
But every scene breaths love for cinema.,acting,,,,,
This is by far the best acting he has done.,acting,,,,,
The comedy was nice but a little too much at times and the acting was definitely improved.,acting,,,,,
"Bad: Acting was still bad, and some scenes that were supposed to be more on the serious side, were totally laughable.",acting,,,,,
"The weakest link, in my opinion, and I truly hate to say this out of my respect for one of the mothers of sci-fi, is Sigourney Weaver's character.",acting,,,,,
"Christian bale, unfortunately had too small a role as the FBI agent assigned to the capturing of Dillinger, but (other than his opening clich scene) when he was on screen, he was excellent, as per usual.",acting,,,,,
"It's another poor career move by Jake Gyllenhaal after the dreadful Prince of Persia, which, with its confusion of accents and the wooden Gemma Arterton, not to mention the hackneyed concept of an antagonistic couple forced to spend time together, was about as believable as a Carry On movie.",acting,,,,,
"Also, a fun note ... the phone voice of Gyllenhall's father is that of Scott Bakula, who is known for his role in the TV series ""Quantum Leap"", also a time travel premise.",acting,,,,,
"Even John Connor himself didn't get enough screen time, except for yet more action scenes.This is where the original trilogy shone, we got to know the characters well so it felt like we were walking the distance along with them.",acting,,,,,
Maggie Grace is remarkably convincing as a seventeen year old despite being twenty-six.,acting,,,,,
"No one can replace Megan Fox, at least the girl had some decency.",acting,,,,,
There is also a fatter Paul Giamatti.,acting,,,,,
"The villain was cool, and Hugo Weaving was perfect.",acting,,,,,
I guess we're spoiled.I disagree with the plaudits for Fran Kranz's acting as Shaggy.,acting,,,,,
"This is one hell of an example of how a franchise and image cannot substitute neither the NEED of a script, nor the quality of the acting.",acting,,,,,
She actually acted.,acting,,,,,
"Joseph Gordon-Levitt, Jonathan Pryce and some other famous faces pop up to flesh out the cast and all is good enough to almost make you forget it's going to be brainless, loud fun.Then we get to the amazing, razzle dazzle, fireworks experience and boy does it deliver in that department.",acting,,,,,
"- The ""Comedy"" relief of the movie - Epic fail.",acting,,,,,
"Eli Roth, best known as the director of Hostel, is on hand to portray Donnie, a Bostonian Jew who beats Nazis with a baseball bat.",acting,,,,,
"Though Oldman's Smiley is far more dapper than the character described in the novel, he is still the 'anti-James Bond' in every sense - mild-mannered, soft-spoken, middle-aged and bespectacled, above all a thinking man rather than a man of violence.",acting,,,,,
"This movie should have been called ""Clash of the Boring Idiots.""",acting,,,,,
"The characters slip into and out of that experience, as perhaps we really do in dreams and daydreams.Like",acting,,,,,
She's a cute girl but that's it...cute,acting,,,,,
He probably ran the whole set during filming.,acting,,,,,
Joseph is really there in that hallway floating around.Another astounding aspect of Inception is the dialogue and how truthful it is.,acting,,,,,
He plays the role of Rorschach so convincingly that you just can't take your eyes off of him.,acting,,,,,
"Second, Jessie Eisenberg's performance as Zuckerberg is uncanny.",acting,,,,,
"It raised his game, and as a result, I feel like we just saw a dare thrown down by one of Hollywood's biggest action specialists: ""Top this.""",acting,,,,,
She should have more screen time.,acting,,,,,
"Many of the ""dead"" characters get to come back in dream sequences, so the excellent cast is complete.",acting,,,,,
"We can see, we can feel their situation, the desperate moments they feel, the urge that they want to escape from the place.",acting,,,,,
"Having just captured a Golden Globe nomination for Best Actress, I would be hard pressed to imagine that her nomination won't translate into one for an Academy Award as well.",acting,,,,,
"I pretty much liked everything: the story, the acting (which features DiCaprio's best performance since The Aviator), the atmosphere, all of it.",acting,,,,,
"However, I was very surprised at how well they all worked together and how well they performed their roles.",acting,,,,,
"Denzel was really good, as always, in his role and i thought Mila Kunis was brilliant.",acting,,,,,
"Without words, I could feel the character's feeling.",acting,,,,,
Tom is defiantly is in his mozo and has given another wonderful performance.,acting,,,,,
Geoffery Marsh's Barbossa is delightful too.,acting,,,,,
"They, being of an older generation were natural fans of Stallone and the action stars of yesteryear.",acting,,,,,
"Special mention should also go to legendary comedian Denis Leary, who does an extremely effective and refreshing turn as Gwen's father Police Captain Stacy, injecting the character with his trademark sarcasm, but also coming across as very commanding.Another thing this film does is that it literally builds Peter from the ground up as a hero, making him learn the hard way through attempts, failures, experiences, pain, loss, and gain.",acting,,,,,
You don't have to be a genius like Tony Stark to know THAT'S going to happen!,acting,,,,,
"This seems to fail also, there is a huge lack of humour and the love interest is slightly boring!! Thor does return to Asgard and it is here the movie rapidly improves.",acting,,,,,
Bravo!!,acting,,,,,
"The story line was one of the only good parts of the film, but it was acted out horribly and according to my mates the cut out all the good parts of the book.The love scenes between Edward and Bella were more cringe worthy than watching your grandparents getting it on.",acting,,,,,
The performances are solid.,acting,,,,,
Entertaining to see ones own childhood fantasies played out by big guys.,acting,,,,,
"I knew this wasn't going to be a great movie considering how Kristen Stewart was starring in the film, but I had hoped that Hemsworth and Theron would have been able to salvage whatever Stewart ruined.",acting,,,,,
"The characters : I didn't care for anybody !! The acting : not bad , but nothing special as well.",acting,,,,,
P.S. I have never liked Michael Gambon as Dumbledore.,acting,,,,,
"By the way, watch for Sid from the first film in a cameo appearance.",acting,,,,,
"(South Central) (Those were the only recognizable people I saw in the film.) The rest of the cast features various young and up-and-coming stars - Their names being Chris Hemsworth, Jesse Williams, Fran Krantz, Kristen Connolly, and Anna Hutchison.",acting,,,,,
"The acting was great, I was convinced the whole time as a viewer that these teenagers had those abilities, as anyone if they got those abilities would be having fun and doing stupid pranks.",acting,,,,,
"Let me start by saying that I adore Rose Byrne, I just think she has grown into a really talented actress, and in Bridesmaid here, she played her role to perfection.",acting,,,,,
I was equally encouraged by her talent.,acting,,,,,
"The rest of the cast, led by Mila Kunis all give good support.If",acting,,,,,
And here's why: ~Liam Neeson - this guy is one of the most underrated action actors of our time.,acting,,,,,
"And let me tell you, he did NOT disappoint.As expected, the acting was superb.",acting,,,,,
A 14 year old who can play with complete integrity her leading role and put the old 'superstar' guys in the shade to boot is really something.,acting,,,,,
Tom Hiddleston's portrayal of Loki is more effective in this movie than he was in Thor.,acting,,,,,
"I think I just found another new favorite actor in Liam, alongside Nic Cage.",acting,,,,,
Ryan Reynolds(Hal Jordan) is a good but not great actor who has done mostly comedies.,acting,,,,,
"He did a lot of great acting jobs, but this is masterful.",acting,,,,,
"Abrams has also assembled a fine cast, especially the very capable child actors, led by Courtney and Fanning, who have strong chemistry between them from their first scenes together, and it builds into a sweet, innocent romance that is effectively realized throughout the running time.",acting,,,,,
They both have just enough spunk and zest to bring these two spirited characters to life.,acting,,,,,
"But, barring her 'Black Swan' avatar towards the end, there wasn't much to her acting.Rather,",acting,,,,,
Rooney Mara who plays Lisbeth Salander did a very good job.,acting,,,,,
"safe to say that the Driver from Drive can be added to that prestigious list.Drive is the cool, smart, festival favorite of the year helmed by Nicolas Winding Refn (Bronson, Valhalla Rising, Pusher).",acting,,,,,
This film is phenomenal.,acting,,,,,
The accent and her manner of delivering it were quite remarkable.All in all it's an excellent film of this genre and I was glad to have seen it.By Bruce L. Jones http://webpages.charter.net/bruce.jones1/,acting,,,,,
"Guess i'll just be repeating what has already gone through, 1 - Either bad acting, or perherps the wrong type of acting, instead of setting the scenes of a doomed love, or some sort of ""Love"", just sets the scene of a teenage infactuation, complete with a needy chick who really just needs an exciting hobby, an emo vampire and an---actually quite realistic human-wolf person, he portrayed the most reasonable personality in the movie.",acting,,,,,
Simply awful.,acting,,,,,
Overdone.,acting,,,,,
Michelle Monaghan shows her role's innocence.,acting,,,,,
"The Cast: For starters, Robert Downey Jr. reprises his role as Tony Stark, the billionaire, egocentric, narcissist CEO of Stark Industries.",acting,,,,,
Daniel here plays his part(of harry of course)..with a maturity of a man grown older than his years(Clearly !) and shows a steeliness resolve and vulnerability of Harry unlike in any of the previous films.What,acting,,,,,
Cillian Murphy emotes richly as the kidnapped son of an energy industry magnate.,acting,,,,,
The Capitol citizens were...unbelievable.,acting,,,,,
"There were many moments that I got so bored listening to people run their mouths that I just zoned out, again, not something I would associate with Tarantino.",acting,,,,,
I don't even remember their names!,acting,,,,,
"The way they brought all the characters together in the storyline , and had them all be able to connect and shows that each knew of each other already to me was amazing.",acting,,,,,
big reasons why you must absolutely watch The King's Speech - Colin Firth and Geoffrey Rush.,acting,,,,,
"There is some amazing performance in the movie, especially that of James Franco and John Lithgow.",acting,,,,,
The appearance of melancholic and sleep deprived Stewart actually fits in as a heartbroken Bella.,acting,,,,,
You could attribute the other parts of his personality being played by his projections.,acting,,,,,
"you fantasised about, the Avengers are finally together and they all have great chemistry.",acting,,,,,
He does not fit.,acting,,,,,
"Usually he succeeds in some way or another, but with Black Swan he misses the mark.",acting,,,,,
She and LaBeouf have absolutely zero chemistry and it's just painful watching these two say horrible dialogue together.,acting,,,,,
"Sure, it's an interesting premise, and Jake Gyllenhaal finally proves he can stand his ground as a lead in an action feature, but it had to deal with a bit of a credibility problem.",acting,,,,,
The acting of the two lead guys is great for this type of movie.,acting,,,,,
Charlize Theron was pointless.,acting,,,,,
She also displays amazing acting prowess and a precocious understanding of the camera lens.,acting,,,,,
"The accents, I think were either over-exaggerated, or badly done, because I had no idea what any of the characters were saying half the time.",acting,,,,,
I was also highly impressed with Colin Firth's stress fuelled stammer which was very convince and never once over the top.,acting,,,,,
"Sully, I will throw it out there, is the new Indiana Jones, he's likable, and I cared about him.",acting,,,,,
The performance from Waltz is the stuff of legend.,acting,,,,,
"In an age when cinema has become entirely its own storytelling beast, its own approach to manifesting drama, the more accustomed acting for the camera being less and less drawn from the theatre, one greatly admires the work of actors like Chris Pine, the malleable concrete which forms the basis of Captain Kirk's reconstruction, and Zachary Quinto, who has a look of infinite dexterity in his obvious physical proclivity for Spock, who don't have to bounce around and reel off monologues ridden with words accentuated on paper with all caps, instead utilizing the great amount of character in their faces.",acting,,,,,
"Characters are either strippers or whores, whilst others are tied submissively and suggestively to beds and tortured.",acting,,,,,
"He actually fits into that part quite well, without delivering an overbearing performance like Dr. Stu's fiance, who director Todd Phillips makes sure we hate from the first minute she's on.Good",acting,,,,,
"Everything, from his voice, to his witty interpretation of the character, to his suggestive face, brought so much to the movie.",acting,,,,,
She added no personality!,acting,,,,,
"From start to finish this film has you hooked constantly, its the brilliantly told true story of the social network everyone's heard of.Jesse Eisenberg gives yet another amazing performance in a film which seems oddly made for him!",acting,,,,,
"I rate this 9 stars because there is room for improvement, but it is also quite underrated by a public which takes fluidity of action, interesting characters, and pristine audio for granted.",acting,,,,,
Consequently you don't get warm with any of them and you simply don't care about them.,acting,,,,,
Rooney does an amazing job dancing the fine line between tragically defiant and certifiably cracked.,acting,,,,,
Then she admits that her favorite book is by Jules Verne.,acting,,,,,
"I'd have loved to see her grow into the part through a long course of sequels...All in all, despite its limitations, ""John Carter"" is a fine adventure film, that does manage to convey at least some of the magic of Edgar Rice Burroughs' writing.",acting,,,,,
Both Denzel and Gary have been around the movie block a few too many times by now.,acting,,,,,
"It's a very different movie from Russell's ""Huckabees,"" a film I adored, but yet his fingerprints are all over it, and its cast gels in the same exhilarating way that the cast of ""Huckabees"" did, sending you out on a high on the strength of the sheer talent on display.Certainly one of the best movies I've seen this year.Grade:",acting,,,,,
It shows what these characters are like just through their mannerisms.,acting,,,,,
However THIS cast really soars and the two incredible up and coming actors Garfield and Stone really really shine and their chemistry is FAR superior to anything Peter and MJ had in the Raimi movies.,acting,,,,,
"One, Downey's accent never convinced me for a second: I was always aware that this was someone doing an accent, not that it was Holmes' natural way of speaking.",acting,,,,,
"It was almost eerie in a way, because Christopher Nolan obviously has worked with Heath Ledger in the past, and he's worked with a look-alike now.",acting,,,,,
"Obviously, they could not have been played by the now greatly aged cast from the old TV show.",acting,,,,,
"Boy was I in for a roller-coaster ride!I gripped the edge of my seat every time the dancers tipped on their tip toes (sound funny right, but a good director can make anything possible).",acting,,,,,
DeHaan did a great job of portraying Andrew.,acting,,,,,
Pattinson was my favorite as he was quite remarkable.,acting,,,,,
This is definitely one of the best comic adaptations done !!!!,acting,,,,,
"Jeff Bridges and the directors re-imagined the Cogburn role, and rightly so.",acting,,,,,
